MPID,Description
DILG,DILLON GAGE SECURITIES INC.
DINO,"DINOSAUR SECURITES, L.L.C."
TREX,DINOSAUR SECURITIES LLC
DAPL,DIRECT ACCESS PARTNERS
DAPG,DIRECT ACCESS PARTNERS LLC
DAPJ,DIRECT ACCESS PARTNERS LLC
DITO,"DITTO TRADE, INC."
DIVP,"DIVERSIFIED SECURITIES, INC."
DIVE,DIVERSITY INVESTMENT CORP.
DIVA,DIVINE CAPITAL MARKETS LLC
DLSC,DLS CAPITAL PARTNERS
DSGG,"DMG SECURITIES, INC."
DNOR,"DNB NOR MARKETS, INC"
DOFT,"DOFT & CO., INC."
DOLY,"DOLEY SECURITIES, LLC."
DFIC,DOMESTIC FINANCIAL SERVICES INC
DOMS,"DOMESTIC SECURIITES, INC."
DOMK,DOMINICK & DOMINICK LLC
DOMI,DOMINION INVESTOR SVS INC
DAII,DON ALEXANDER INVTMTS
DORN,DORN & CO INC
DORS,"DORSEY & COMPANY, INC."
DOTC,"DOUGHERTY & COMPANY, LLC"
DGLS,DOUGLAS & ASSOCIATES INC.
DOWL,DOWLING & PARTNERS SECURITIES
DDBI,"DOWNSTATE DISCOUNT BROKERAGE, INC."
IPRV,"DPEC CAPITAL, INC."
DREX,"DREXEL HAMILTON, LLC"
PASQ,"DU PASQUIER & CO., INC."
DCUS,"DUBEAU CAPITAL USA, INC."
DNWL,DUNCAN-WILLIAMS
DHAM,DUNHAM & ASSOCIATES INVST COUNSEL INC
DIDI,"DWS INVESTMENTS DISTRIBUTORS, INC"
DCPI,"DYNASTY CAPITAL PARTNERS, INC."
EWIN,E-W INVESTMENTS INC
POWL,E. E. POWELL & CO.
EDLR,"E.J.DE LA ROSA & CO., INC."
EMOC,E.MAGNUS OPPENHEIM & CO. INC.
ESFS,E.S. FINL SVS
HOPE,E.S. HOPE FINANCIAL
ETRS,E*TRADE SECURITIES LLC
EVRS,"E1 ASSET MANAGEMENT, INC."
ELCA,"EAGLE LEDGE CAPITAL, LLC"
EOIL,EAGLE ONE INVMTS LLC
